# x_m, y_m, vx_mps, psi_rad, kappa_radpm
2.4320873, -4.0708900, 5.1874676, 1.1212533, -0.0861396
2.3451893, -4.0285222, 5.1738824, 1.1131206, -0.0816927
2.2529128, -3.9826050, 5.1595656, 1.1051927, -0.0712670
2.1657048, -3.9384314, 5.1452488, 1.0989361, -0.0556527
2.0757080, -3.8922177, 5.1303011, 1.0941231, -0.0397941
1.9882444, -3.8468696, 5.1151830, 1.0911672, -0.0190076
1.8996641, -3.8006947, 5.0997120, 1.0891244, -0.0299031
1.8117951, -3.7545572, 5.0841383, 1.0851214, -0.0503459
1.7249620, -3.7082368, 5.0690685, 1.0740044, -0.1843795
1.6364206, -3.6589195, 5.0540586, 1.0493727, -0.2917523
1.5536228, -3.6095859, 5.0410990, 1.0158707, -0.3940068
1.4675108, -3.5536281, 5.0281604, 0.9723557, -0.4445960
1.3897285, -3.4979581, 5.0171252, 0.9250153, -0.5479251
1.3111252, -3.4351037, 5.0063602, 0.8666489, -0.6010061
1.2361130, -3.3673397, 4.9956405, 0.8058569, -0.5828177
1.1688053, -3.2991424, 4.9849918, 0.7526613, -0.5293789
1.1008461, -3.2226514, 4.9743432, 0.7009319, -0.4831748
1.0365393, -3.1426154, 4.9616970, 0.6537294, -0.4226077
0.9794083, -3.0650302, 4.9454022, 0.6169369, -0.3457074
0.9226498, -2.9821735, 4.9291074, 0.5852088, -0.2892871
0.8664834, -2.8947313, 4.9128127, 0.5574387, -0.2473635
0.8148658, -2.8097232, 4.8846584, 0.5345375, -0.2133502
0.7653170, -2.7240759, 4.8524068, 0.5148858, -0.1848454
0.7165746, -2.6361138, 4.8201552, 0.4975278, -0.1611195
0.6686904, -2.5462709, 4.7879035, 0.4821719, -0.1411287
0.6228324, -2.4571945, 4.7430784, 0.4690432, -0.1204059
0.5781590, -2.3677844, 4.6944524, 0.4580163, -0.1005256
0.5342904, -2.2777284, 4.6458264, 0.4488826, -0.0820269
0.4911927, -2.1873754, 4.5972003, 0.4415571, -0.0644343
0.4483187, -2.0959772, 4.5409433, 0.4360093, -0.0446862
0.4058751, -2.0044259, 4.4808169, 0.4325669, -0.0234343
0.3640379, -1.9136232, 4.4206905, 0.4313134, -0.0014272
0.3227192, -1.8239137, 4.3605642, 0.4323101, 0.0219472
