# x_m, y_m, vx_mps, psi_rad, kappa_radpm
7.2971488, -5.2527559, 4.8682484, 1.0135100, 0.2342988
7.2095285, -5.1995837, 4.9758578, 1.0370642, 0.2261037
7.1216337, -5.1489826, 5.0811889, 1.0596804, 0.2181793
7.0355133, -5.1018704, 5.1843803, 1.0806042, 0.2087037
6.9467561, -5.0556771, 5.2855576, 1.1011426, 0.2023098
6.8556379, -5.0105958, 5.3848341, 1.1214990, 0.1985910
6.7646401, -4.9678270, 5.4823131, 1.1412979, 0.1939767
6.6739676, -4.9273386, 5.5780889, 1.1602650, 0.1883465
6.5818558, -4.8882662, 5.6722478, 1.1789037, 0.1845054
6.4885296, -4.8507029, 5.7648690, 1.1973427, 0.1823326
6.3946222, -4.8148926, 5.8560254, 1.2155769, 0.1794894
6.3004828, -4.7809214, 5.9457845, 1.2333073, 0.1750330
6.2057821, -4.7486119, 6.0342085, 1.2506491, 0.1717841
6.1107180, -4.7179916, 6.1213553, 1.2676928, 0.1697094
6.0150113, -4.6889475, 6.2072788, 1.2846047, 0.1683546
5.9182170, -4.6613496, 6.2920290, 1.3014594, 0.1666035
5.8215084, -4.6355170, 6.3756528, 1.3180624, 0.1651779
5.7249732, -4.6114286, 6.4579724, 1.3344401, 0.1640889
5.6280886, -4.5889264, 6.5372828, 1.3506982, 0.1614775
5.5296497, -4.5677276, 6.6147736, 1.3665274, 0.1527929
5.4315377, -4.5481681, 6.6943669, 1.3813517, 0.1434470
5.3337383, -4.5301215, 6.7730250, 1.3951280, 0.1334940
5.2356150, -4.5133590, 6.8507800, 1.4078862, 0.1222962
5.1362575, -4.4976325, 6.9276624, 1.4195244, 0.1090413
5.0372829, -4.4830745, 7.0037008, 1.4297606, 0.0955438
4.9387544, -4.4695400, 7.0789225, 1.4385811, 0.0817716
4.8397197, -4.4567570, 7.1533533, 1.4460465, 0.0678754
4.7398304, -4.4445535, 7.2270175, 1.4521756, 0.0538481
4.6405743, -4.4329708, 7.2999385, 1.4568376, 0.0393591
4.5419931, -4.4218582, 7.3721381, 1.4600037, 0.0243641
4.4422707, -4.4108622, 7.4436376, 1.4617027, 0.0098739
4.3422960, -4.3999381, 7.5144567, 1.4619746, -0.0045887
4.2432021, -4.3890640, 7.5709224, 1.4607704, -0.0197098
4.1450526, -4.3780989, 7.4373292, 1.4580477, -0.0355889
4.0444114, -4.3664965, 7.3101927, 1.4537644, -0.0490135
3.9448206, -4.3545160, 7.1898127, 1.4481457, -0.0631965
3.8464720, -4.3420551, 7.0766804, 1.4411388, -0.0783717
3.7474762, -4.3287264, 6.9698814, 1.4325460, -0.0925166
3.6474149, -4.3143059, 6.8680786, 1.4225746, -0.1049756
3.5489957, -4.2990616, 6.7719947, 1.4114500, -0.1186839
3.4519945, -4.2828673, 6.6822536, 1.3990466, -0.1334556
3.3516234, -4.2647355, 6.5955812, 1.3849358, -0.1434930
3.2534412, -4.2455248, 6.5128477, 1.3700202, -0.1549840
3.1575676, -4.2252327, 6.4351111, 1.3542030, -0.1681721
3.0582295, -4.2024630, 6.3588429, 1.3366262, -0.1760361
2.9609061, -4.1783236, 6.2841795, 1.3185761, -0.1842731
2.8666271, -4.1531055, 6.2121116, 1.3001249, -0.1941989
2.7682654, -4.1247481, 6.1392410, 1.2800580, -0.1970891
2.6729139, -4.0951882, 6.0644264, 1.2602647, -0.1995548
2.5798069, -4.0642957, 5.9872203, 1.2405571, -0.2009560
2.4833300, -4.0301243, 5.9069460, 1.2203577, -0.1932223
2.3916059, -3.9956258, 5.8177022, 1.2019240, -0.1823100
2.2974925, -3.9582716, 5.7172245, 1.1843089, -0.1638104
2.2057848, -3.9201246, 5.6005375, 1.1693812, -0.1347641
2.1143668, -3.8806589, 5.4606219, 1.1576162, -0.1055691
